10	1	8	10
9	2	8	9
8	3	8	7
7	3	8	8
6	4	8	6
11	5	8	6
12	6	8	6
13	7	8	11
14	9	8	12
15	10	8	13
16	11	8	14
52	12	8	45
58	12	8	51
54	14	8	47
56	15	8	6
55	15	8	48
57	16	8	49
59	17	8	6
60	18	8	52
142	18	8	113
61	19	8	10
62	19	8	53
63	20	8	6
66	21	8	6
64	21	8	10
65	21	8	54
68	22	8	54
141	22	8	60
140	22	8	108
139	22	8	112
114	25	8	6
113	25	8	56
87	26	8	6
88	26	8	63
124	27	8	85
123	27	8	95
138	27	8	108
126	28	8	6
125	28	8	56
128	29	8	97
130	29	8	100
131	29	8	102
133	30	8	105
135	30	8	107
136	30	8	108
137	30	8	110
143	31	8	114
144	31	8	115
